submission_year,main_categories,count,total,proportion
2016,physics,57,689,0.08272859216255443
2016,q-bio,8,689,0.011611030478955007
2016,q-fin,2,689,0.002902757619738752
2016,quant-ph,20,689,0.02902757619738752
2016,stat,19,689,0.027576197387518143
2017,astro-ph,55,648,0.08487654320987655
2017,cond-mat,67,648,0.10339506172839506
2017,cs,150,648,0.23148148148148148
2017,eess,4,648,0.006172839506172839
2017,gr-qc,11,648,0.016975308641975308
2017,hep-ex,5,648,0.007716049382716049
2017,hep-ph,19,648,0.029320987654320986
2017,hep-th,20,648,0.030864197530864196
2017,math,193,648,0.2978395061728395
2017,math-ph,7,648,0.010802469135802469
2017,nlin,8,648,0.012345679012345678
2017,nucl-ex,2,648,0.0030864197530864196
2017,nucl-th,7,648,0.010802469135802469
2017,physics,53,648,0.08179012345679013
2017,q-bio,4,648,0.006172839506172839
2017,q-fin,1,648,0.0015432098765432098
2017,quant-ph,17,648,0.026234567901234566
2017,stat,25,648,0.038580246913580245
2018,astro-ph,61,859,0.0710128055878929
2018,cond-mat,101,859,0.11757857974388825
2018,cs,209,859,0.24330616996507567
2018,econ,3,859,0.0034924330616996507
2018,eess,14,859,0.01629802095459837
2018,gr-qc,9,859,0.010477299185098952
2018,hep-ex,7,859,0.008149010477299184
2018,hep-lat,1,859,0.0011641443538998836
2018,hep-ph,24,859,0.027939464493597205
2018,hep-th,26,859,0.030267753201396973
2018,math,194,859,0.22584400465657742
2018,math-ph,16,859,0.018626309662398137
2018,nlin,7,859,0.008149010477299184
2018,nucl-ex,5,859,0.005820721769499418
2018,nucl-th,10,859,0.011641443538998836
2018,physics,82,859,0.09545983701979045
2018,q-bio,10,859,0.011641443538998836
2018,q-fin,5,859,0.005820721769499418
2018,quant-ph,31,859,0.03608847497089639
2018,stat,44,859,0.051222351571594875
2019,astro-ph,86,1036,0.08301158301158301
2019,cond-mat,89,1036,0.0859073359073359
2019,cs,271,1036,0.26158301158301156
2019,econ,4,1036,0.003861003861003861
2019,eess,40,1036,0.03861003861003861
2019,gr-qc,27,1036,0.026061776061776062
2019,hep-ex,11,1036,0.010617760617760617
2019,hep-lat,3,1036,0.0028957528957528956
2019,hep-ph,32,1036,0.03088803088803089
2019,hep-th,38,1036,0.03667953667953668
2019,math,210,1036,0.20270270270270271
2019,math-ph,16,1036,0.015444015444015444
2019,nlin,6,1036,0.005791505791505791
2019,nucl-ex,5,1036,0.004826254826254826
2019,nucl-th,6,1036,0.005791505791505791
2019,physics,80,1036,0.07722007722007722
2019,q-bio,12,1036,0.011583011583011582
2019,q-fin,3,1036,0.0028957528957528956
2019,quant-ph,31,1036,0.029922779922779922
2019,stat,66,1036,0.0637065637065637
2020,astro-ph,85,1140,0.07456140350877193
2020,cond-mat,105,1140,0.09210526315789473
2020,cs,371,1140,0.3254385964912281
2020,econ,4,1140,0.0035087719298245615
2020,eess,51,1140,0.04473684210526316
2020,gr-qc,17,1140,0.014912280701754385
2020,hep-ex,9,1140,0.007894736842105263
2020,hep-lat,4,1140,0.0035087719298245615
2020,hep-ph,28,1140,0.02456140350877193
2020,hep-th,26,1140,0.02280701754385965
2020,math,206,1140,0.18070175438596492
2020,math-ph,22,1140,0.01929824561403509
2020,nlin,6,1140,0.005263157894736842
2020,nucl-ex,6,1140,0.005263157894736842
2020,nucl-th,9,1140,0.007894736842105263
2020,physics,79,1140,0.06929824561403508
2020,q-bio,9,1140,0.007894736842105263
2020,q-fin,6,1140,0.005263157894736842
2020,quant-ph,38,1140,0.03333333333333333
2020,stat,59,1140,0.05175438596491228
2021,astro-ph,88,1150,0.07652173913043478
2021,cond-mat,101,1150,0.08782608695652173
2021,cs,405,1150,0.3521739130434783
2021,econ,4,1150,0.0034782608695652175
2021,eess,52,1150,0.04521739130434783
2021,gr-qc,17,1150,0.014782608695652174
2021,hep-ex,14,1150,0.01217391304347826
2021,hep-lat,1,1150,0.0008695652173913044
2021,hep-ph,26,1150,0.022608695652173914
2021,hep-th,33,1150,0.028695652173913042
2021,math,200,1150,0.17391304347826086
2021,math-ph,13,1150,0.011304347826086957
2021,nlin,6,1150,0.0052173913043478265
2021,nucl-ex,5,1150,0.004347826086956522
2021,nucl-th,8,1150,0.006956521739130435
2021,physics,78,1150,0.06782608695652174
2021,q-bio,8,1150,0.006956521739130435
2021,q-fin,5,1150,0.004347826086956522
2021,quant-ph,28,1150,0.02434782608695652
2021,stat,58,1150,0.050434782608695654
2022,astro-ph,64,1199,0.05337781484570475
2022,cond-mat,112,1199,0.09341117597998332
2022,cs,413,1199,0.34445371142618847
2022,econ,10,1199,0.008340283569641367
2022,eess,55,1199,0.045871559633027525
2022,gr-qc,17,1199,0.014178482068390326
2022,hep-ex,11,1199,0.009174311926605505
2022,hep-lat,2,1199,0.0016680567139282735
2022,hep-ph,26,1199,0.021684737281067557
2022,hep-th,17,1199,0.014178482068390326
2022,math,219,1199,0.18265221017514596
2022,math-ph,17,1199,0.014178482068390326
2022,nlin,3,1199,0.0025020850708924102
2022,nucl-ex,7,1199,0.005838198498748957
2022,nucl-th,7,1199,0.005838198498748957
2022,physics,105,1199,0.08757297748123437
2022,q-bio,7,1199,0.005838198498748957
2022,q-fin,8,1199,0.006672226855713094
2022,quant-ph,38,1199,0.0316930775646372
2022,stat,61,1199,0.05087572977481234
2023,astro-ph,69,1362,0.05066079295154185
2023,cond-mat,94,1362,0.06901615271659324
2023,cs,556,1362,0.40822320117474303
2023,econ,4,1362,0.002936857562408223
2023,eess,74,1362,0.05433186490455213
2023,gr-qc,25,1362,0.018355359765051395
